item_number,item_description,etl_date
100442,EVAN WILLIAMS RESERVE COMBO PACK,2025-02-25T12:43:14.229347
100443,REDBREAST TRI PACK MINI,2025-02-25T12:43:14.229347
100444,JAMESON W/2-50MLS,2025-02-25T12:43:14.229347
100446,BUSHMILLS W/STONE CHILLERS,2025-02-25T12:43:14.229347
100448,1800 SILVER W/FLASK,2025-02-25T12:43:14.229347
100453,KRAKEN W/COLOR CHANGING HIGH BALL GLASSES,2025-02-25T12:43:14.229347
100456,DEEP EDDY RUBY RED W/DRINK FLOATS,2025-02-25T12:43:14.229347
100457,DEEP EDDY W/LIGHTS,2025-02-25T12:43:14.229347
100458,DEEP EDDY LEMON W/DRINK FLOATS,2025-02-25T12:43:14.229347
100459,DEEP EDDY RUBY RED W/DRINK FLOATS,2025-02-25T12:43:14.229347
100466,FRAPPACHATA 100ML ORIGINAL DISPENSER PACK,2025-02-25T12:43:14.229347
100479,KETEL ONE W/FEVER TREE CLUB SODA,2025-02-25T12:43:14.229347
100488,JACK DANIELS TENNESSEE HONEY W/NBA BASKETBALL ICE MOLD,2025-02-25T12:43:14.229347
100489,HERRADURA SILVER W/ICE MOLD,2025-02-25T12:43:14.229347
100490,ABSOLUT MINI BAR,2025-02-25T12:43:14.229347
100495,AVIATION AMERICAN GIN VAP W/ MUDDLER,2025-02-25T12:43:14.229347
100498,KETEL ONE W/2 GLASSES & SPOON,2025-02-25T12:43:14.229347
100499,BULLEIT BOURBON 375ML & BULLEIT RYE 375ML,2025-02-25T12:43:14.229347
100501,CROWN ROYAL REGAL APPLE 375ML & VANILLA 375ML W/SHOT GLASS,2025-02-25T12:43:14.229347
100503,ST BRENDANS W/3-50MLS,2025-02-25T12:43:14.229347
100504,WESTERN SON ORIGINAL W/3-50ML,2025-02-25T12:43:14.229347
100506,BP LAST DROP 1971 BLENDED WHISKY W/50ML,2025-02-25T12:43:14.229347
100507,ABSENTE ABSINTHE REFINED W/2 GLASSES,2025-02-25T12:43:14.229347
100508,CAROLANS IRISH CREAM W/GLASS,2025-02-25T12:43:14.229347
100509,HPNOTIQ W/FLASK,2025-02-25T12:43:14.229347
100510,RUMCHATA MINICHATAS HOLIDAY MUG,2025-02-25T12:43:14.229347
100526,SOUTHERN COMFORT W/2 ROCK GLASSES,2025-02-25T12:43:14.229347
100527,HENNESSY VSOP MIXOLOGY VAP,2025-02-25T12:43:14.229347
100528,EFFEN VODKA TRIO PACK,2025-02-25T12:43:14.229347
100531,CRYSTAL HEAD VODKA MINI PATRIOTIC PACKAGE,2025-02-25T12:43:14.229347
100532,CLYDE MAYS W/FLASK,2025-02-25T12:43:14.229347
100533,BACARDI OCHO GIFT TUBE,2025-02-25T12:43:14.229347
100535,FIREBALL GIFT BOX,2025-02-25T12:43:14.229347
100536,FRAPPACHATA 100ML MOCHA DISPENSER PACK,2025-02-25T12:43:14.229347
100544,CLIMAX WOOD-FIRED WHISKEY W/2 GLASSES,2025-02-25T12:43:14.229347
100545,GREY GOOSE W/2 MARTINI GLASSES,2025-02-25T12:43:14.229347
100546,EZRA BROOKS W/FLASK,2025-02-25T12:43:14.229347
100549,CAPTAIN MORGAN W/50ML & SHOT GLASS,2025-02-25T12:43:14.229347
