,date,store_name,city,county,category_name,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
64,2015-11-30,Hy-Vee Food Store #1 / Newton,NEWTON,Jasper,SPEARMINT SCHNAPPS,12.0,1000.0,5.0,7.5,4.0,30.0,4.0,1.06
65,2015-02-23,Sonny's Super Market / West Point,WEST POINT,Lee,SPEARMINT SCHNAPPS,12.0,1000.0,5.0,7.5,4.0,30.0,4.0,1.06
66,2019-05-30,Celtics Beverage Company,Emmetsburg,PALO ALTO,Imported Distilled Spirit Specialty,12.0,1000.0,5.0,7.5,4.0,30.0,4.0,1.05
67,2013-09-09,Hy-Vee Food Store #1 / Mason City,MASON CITY,Cerro Gordo,AMERICAN SLOE GINS,12.0,1000.0,5.17,7.75,4.0,31.0,4.0,1.06
68,2013-03-11,Sioux Food Center of Sioux Rapids,SIOUX RAPIDS,Buena Vista,ROOT BEER SCHNAPPS,12.0,1000.0,5.0,7.75,4.0,31.0,4.0,1.06
69,2013-12-09,Hy-Vee Food Store #1 / Council Bluff,COUNCIL BLUFFS,Pottawattamie,AMERICAN SLOE GINS,12.0,1000.0,5.17,7.75,4.0,31.0,4.0,1.06
70,2012-11-26,Cresco Liquor Store,CRESCO,Howard,AMERICAN SLOE GINS,12.0,1000.0,5.17,7.75,4.0,31.0,4.0,1.06
71,2013-01-29,Hy-Vee #1044 / Burlington,BURLINGTON,Des Moines,AMERICAN SLOE GINS,12.0,1000.0,5.17,7.75,4.0,31.0,4.0,1.06
72,2021-04-07,Hy-Vee  #2 / Ames,Ames,STORY,Gold Rum,12.0,1000.0,9.5,14.25,4.0,57.0,4.0,1.05
73,2017-07-20,Quick Shop / Clear Lake,Clear Lake,Cerro Gord,Aged Dark Rum,12.0,1000.0,13.0,19.5,4.0,75.0,4.0,1.06
74,2019-12-28,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,Triple Sec,12.0,1000.0,2.42,3.63,4.0,14.52,4.0,1.05
75,2020-12-04,Fareway Stores #597 / Creston,Creston,UNION,Triple Sec,12.0,1000.0,2.42,3.63,4.0,14.52,4.0,1.05
76,2020-04-21,Hy-Vee / Charles City,Charles City,FLOYD,Triple Sec,12.0,1000.0,3.84,5.76,4.0,23.04,4.0,1.05
77,2019-12-31,Hy-Vee Food Store / Cedar Falls,Cedar Falls,BLACK HAWK,Triple Sec,12.0,1000.0,3.84,5.76,4.0,23.04,4.0,1.05
78,"2017-12-18,""Giggle Juice Liquor Station, LLC"",Anamosa,JONES,Triple Sec,12,1000,3.84,5.76,4,23.04,4.0,1.06",Unknown,Unknown,UNKNOWN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2014-03-10,Hy-Vee Drugstore #5 / Cedar Rapids,CEDAR RAPIDS,Linn,DISTILLED SPIRITS SPECIALTY,12.0,1000.0,4.51,6.76,4.0,27.04,4.0,1.06
80,2012-05-31,Mmdg Spirits / Ames,AMES,Story,MISCELLANEOUS SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
81,2013-01-07,Abby Lea's,NASHUA,Chickasaw,GRAPE SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
82,2012-02-22,Sac Liquor Store,SAC CITY,Sac,ROOT BEER SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
83,2012-10-24,Sac Liquor Store,SAC CITY,Sac,PEACH SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
84,2012-08-28,Great Pastimes,MONTICELLO,Jones,APPLE SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
85,2012-09-12,Jensen Liquor North,SIBLEY,Osceola,WATERMELON SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
86,2012-08-22,Kum & Go #713 / Burlington,BURLINGTON,Des Moines,WATERMELON SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
87,2012-04-25,Geno's Liquor,EAGLE GROVE,Wright,PEACH SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
88,2012-05-09,FILL R UP,COUNCIL BLUFFS,Pottawattamie,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
89,2012-11-29,Mmdg Spirits / Ames,AMES,Story,WATERMELON SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
90,2012-11-27,Avoca Liquor,AVOCA,Pottawattamie,TROPICAL FRUIT SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
91,2012-07-09,Hy-Vee Food Store / Creston,CRESTON,Union,PEACH SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
92,"2012-02-08,""Spirits, Stogies and Stuff"",HOLSTEIN,Ida,MISCELLANEOUS SCHNAPPS,12,1000,7.35,11.02,4,44.08,4.0,1.06",Unknown,Unknown,UNKNOWN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2012-03-07,Ida Grove Food Pride,IDA GROVE,Ida,PEACH SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
94,2013-01-08,Great Pastimes,MONTICELLO,Jones,CINNAMON SCHNAPPS,12.0,1000.0,7.35,11.02,4.0,44.08,4.0,1.06
95,2015-07-22,Hy-Vee Food Store / Oskaloosa,OSKALOOSA,Mahaska,TRIPLE SEC,12.0,1000.0,3.01,4.52,4.0,18.08,4.0,1.06
96,2015-05-05,DYNO'S 51 / SANBORN,SANBORN,O'Brien,TRIPLE SEC,12.0,1000.0,3.01,4.52,4.0,18.08,4.0,1.06
97,2012-12-12,Sac Liquor Store,SAC CITY,Sac,APRICOT BRANDIES,12.0,1000.0,6.52,9.79,4.0,39.16,4.0,1.06
98,2013-08-21,Great Pastimes,MONTICELLO,Jones,APRICOT BRANDIES,12.0,1000.0,6.52,9.79,4.0,39.16,4.0,1.06
99,2013-02-05,Great Pastimes,MONTICELLO,Jones,APRICOT BRANDIES,12.0,1000.0,6.52,9.79,4.0,39.16,4.0,1.06
100,2012-08-01,Hy-Vee Wine and Spirits / Washington,WASHINGTON,Washington,BLACKBERRY BRANDIES,12.0,1000.0,6.52,9.79,4.0,39.16,4.0,1.06
101,2013-02-13,Sac Liquor Store,SAC CITY,Sac,BLACKBERRY BRANDIES,12.0,1000.0,6.52,9.79,4.0,39.16,4.0,1.06
102,2014-02-03,Sonny's Super Market / West Point,WEST POINT,Lee,BLACKBERRY BRANDIES,12.0,1000.0,6.38,9.56,4.0,38.24,4.0,1.06
103,2013-11-26,Tri Stop,LOST NATION,Clinton,BLACKBERRY BRANDIES,12.0,1000.0,6.38,9.56,4.0,38.24,4.0,1.06
104,2016-08-05,Guppy's On The Go / Tripoli,Tripoli,Bremer,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.87,11.81,4.0,47.24,4.0,1.06
105,2016-03-16,Big G Food Store,MARENGO,Iowa,WATERMELON SCHNAPPS,12.0,1000.0,7.87,11.81,4.0,47.24,4.0,1.06
106,2016-03-07,I-80 Liquor / Council Bluffs,COUNCIL BLUFFS,Pottawattamie,CINNAMON SCHNAPPS,12.0,1000.0,7.87,11.81,4.0,47.24,4.0,1.06
107,2013-06-26,Grand Falls Casino Resort,LARCHWOOD,Lyon,SINGLE MALT SCOTCH,12.0,1000.0,25.99,39.49,4.0,157.96,4.0,1.06
108,2014-06-02,Brewski's Beverage,COUNCIL BLUFFS,Pottawattamie,COFFEE LIQUEURS,12.0,1000.0,15.25,22.87,4.0,91.48,4.0,1.06
109,2013-08-05,Hy-Vee #4 / WDM,WEST DES MOINES,Polk,COFFEE LIQUEURS,12.0,1000.0,15.25,22.87,4.0,91.48,4.0,1.06
110,2012-10-23,Hy-Vee / Waverly,WAVERLY,Bremer,COFFEE LIQUEURS,12.0,1000.0,15.25,22.87,4.0,91.48,4.0,1.06
111,2021-04-02,Spirits Liquor,Grimes,POLK,Aged Dark Rum,12.0,1000.0,8.4,12.6,4.0,50.4,4.0,1.05
112,2012-12-19,The Cue Liquors,ROCK VALLEY,Sioux,AMERICAN AMARETTO,12.0,1000.0,4.04,6.06,4.0,24.24,4.0,1.06
113,2012-07-25,D And S Grocery,MELCHER-DALLAS,Marion,AMERICAN AMARETTO,12.0,1000.0,4.04,6.06,4.0,24.24,4.0,1.06
114,2012-02-01,Sac Liquor Store,SAC CITY,Sac,AMERICAN AMARETTO,12.0,1000.0,4.04,6.06,4.0,24.24,4.0,1.06
115,2012-11-27,Nash Finch / Wholesale Food,MUSCATINE,Muscatine,TROPICAL FRUIT SCHNAPPS,12.0,1000.0,4.54,6.81,4.0,27.24,4.0,1.06
116,2012-10-30,Hy-Vee Food Store / Muscatine,MUSCATINE,Muscatine,TROPICAL FRUIT SCHNAPPS,12.0,1000.0,4.54,6.81,4.0,27.24,4.0,1.06
117,2013-05-30,DYNO'S 51 / SANBORN,SANBORN,O'Brien,TROPICAL FRUIT SCHNAPPS,12.0,1000.0,4.54,6.81,4.0,27.24,4.0,1.06
118,2014-05-20,Hy-Vee Food Store / Grinnell,GRINNELL,Poweshiek,TROPICAL FRUIT SCHNAPPS,12.0,1000.0,4.54,6.81,4.0,27.24,4.0,1.06
119,2013-03-07,Hy-Vee Drugstore / Iowa City,IOWA CITY,Johnson,IRISH WHISKIES,12.0,1000.0,12.49,19.49,4.0,77.96,4.0,1.06
120,2018-01-05,The Beverage Shop / Belmond,Belmond,WRIGHT,Coffee Liqueurs,12.0,1000.0,14.99,22.49,4.0,89.96,4.0,1.06
121,2019-02-22,Ding's Honk'n Holler,Clarinda,PAGE,Coffee Liqueurs,12.0,1000.0,14.99,22.49,4.0,89.96,4.0,1.05
122,2018-01-19,Liquor Barn II,Hampton,FRANKLIN,Coffee Liqueurs,12.0,1000.0,14.99,22.49,4.0,89.96,4.0,1.06
123,2018-01-10,Hometown Foods / Traer,Traer,TAMA,Coffee Liqueurs,12.0,1000.0,14.99,22.49,4.0,89.96,4.0,1.06
124,2018-01-24,Cyclone Liquors,Ames,STORY,Coffee Liqueurs,12.0,1000.0,14.99,22.49,4.0,89.96,4.0,1.06
125,2019-06-11,Cork It!,Le Mars,PLYMOUTH,Coffee Liqueurs,12.0,1000.0,14.99,22.49,4.0,89.96,4.0,1.05
126,2015-04-01,Hy-Vee Wine and Spirits / Algona,ALGONA,Kossuth,IRISH WHISKIES,12.0,1000.0,18.49,27.74,4.0,110.96,4.0,1.06
127,2015-01-28,Hy-Vee Wine and Spirits / Pella,PELLA,Marion,IRISH WHISKIES,12.0,1000.0,18.49,27.74,4.0,110.96,4.0,1.06
128,2015-07-13,Lindsanator's,GUTTENBERG,Clayton,IRISH WHISKIES,12.0,1000.0,18.49,27.74,4.0,110.96,4.0,1.06
129,2014-12-01,Bender's Foods,BELLEVUE,Jackson,IRISH WHISKIES,12.0,1000.0,18.49,27.74,4.0,110.96,4.0,1.06
130,2013-05-09,Hy-Vee Food and Drug / Grand / WDM,WEST DES MOINES,Polk,IRISH WHISKIES,12.0,1000.0,13.99,20.99,4.0,83.96,4.0,1.06
131,2013-11-22,Quick Shop / Clear Lake,CLEAR LAKE,Cerro Gordo,IRISH WHISKIES,12.0,1000.0,17.99,26.99,4.0,107.96,4.0,1.06
132,2013-08-05,Hartig Drug #14 / Independence,INDEPENDENCE,Buchanan,IRISH WHISKIES,12.0,1000.0,17.99,26.99,4.0,107.96,4.0,1.06
133,2015-06-01,Hy-Vee Wine and Spirits / Washington,WASHINGTON,Washington,AMERICAN AMARETTO,12.0,1000.0,4.05,6.08,4.0,24.32,4.0,1.06
134,2014-06-27,T-N-T Liquor,SIGOURNEY,Keokuk,AMERICAN AMARETTO,12.0,1000.0,4.05,6.08,4.0,24.32,4.0,1.06
135,2016-08-03,North Scott Foods,Eldridge,Scott,AMERICAN AMARETTO,12.0,1000.0,4.05,6.08,4.0,24.32,4.0,1.06
136,2014-09-02,Main Street Liquors / Hawarden,HAWARDEN,Sioux,AMERICAN AMARETTO,12.0,1000.0,4.05,6.08,4.0,24.32,4.0,1.06
137,2016-08-10,Graettinger Market,Graettinger,Palo Alto,AMERICAN AMARETTO,12.0,1000.0,4.05,6.08,4.0,24.32,4.0,1.06
138,2014-12-03,Hy-Vee #3 / Dubuque,DUBUQUE,Dubuque,AMERICAN AMARETTO,12.0,1000.0,4.05,6.08,4.0,24.32,4.0,1.06
139,2012-04-26,Smokin' Joe's #18 Tobacco and Liquor,IOWA CITY,Johnson,100 PROOF VODKA,12.0,500.0,3.73,5.59,8.0,44.72,4.0,1.06
140,2012-02-23,Smokin' Joe's #14 Tobacco and Liquor,CEDAR RAPIDS,Linn,100 PROOF VODKA,12.0,500.0,3.73,5.59,8.0,44.72,4.0,1.06
141,2015-11-16,Hy-Vee Food Store / Muscatine,MUSCATINE,Muscatine,SINGLE MALT SCOTCH,12.0,1000.0,28.48,42.72,4.0,170.88,4.0,1.06
142,2019-08-14,Tobacco Shop / Arnolds Park,Arnolds Park,DICKINSON,Single Malt Scotch,12.0,1000.0,28.98,43.47,4.0,173.88,4.0,1.05
143,2013-05-08,FILL R UP,COUNCIL BLUFFS,Pottawattamie,PEACH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
144,2014-09-25,Quick Shop / Clear Lake,CLEAR LAKE,Cerro Gordo,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
145,2013-08-19,FRANKLIN STREET FLORAL & GIFT,MONONA,Clayton,PEACH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
146,2015-06-24,Hy-Vee Food Store / Centerville,CENTERVILLE,Appanoose,APPLE SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
147,2015-06-16,Hy-Vee Food Store #2 / Council Bluff,COUNCIL BLUFFS,Pottawattamie,WATERMELON SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
148,2013-02-27,Al's Liquors Unlimited,STORM LAKE,Buena Vista,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
149,2013-09-24,Geno's Liquor,EAGLE GROVE,Wright,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
150,2014-09-17,Mmdg Spirits / Ames,AMES,Story,MISCELLANEOUS SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
151,"2015-06-03,""Spirits, Stogies and Stuff"",HOLSTEIN,Ida,APPLE SCHNAPPS,12,1000,7.62,11.43,4,45.72,4.0,1.06",Unknown,Unknown,UNKNOWN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2014-04-30,Hy-Vee Wine and Spirits / Pella,PELLA,Marion,MISCELLANEOUS SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
153,2016-01-05,Hy-Vee #3 / Dubuque,DUBUQUE,Dubuque,PEACH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
154,2014-01-27,Hy-Vee Food Store #1 / Council Bluff,COUNCIL BLUFFS,Pottawattamie,TROPICAL FRUIT SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
155,2013-02-27,Liquor Locker,ROCK RAPIDS,Lyon,APPLE SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
156,2015-01-22,Quick Shop / Clear Lake,CLEAR LAKE,Cerro Gordo,WATERMELON SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
157,2014-03-03,Quick Shop / Clear Lake,CLEAR LAKE,Cerro Gordo,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
158,2015-10-14,Big G Food Store,MARENGO,Iowa,APPLE SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
159,2014-12-29,Al's Liquors Unlimited,STORM LAKE,Buena Vista,CINNAMON SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
160,2014-07-14,Sonny's Super Market / West Point,WEST POINT,Lee,BUTTERSCOTCH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
161,2015-10-26,Hy-Vee Wine and Spirits / Waterloo,WATERLOO,Black Hawk,MISCELLANEOUS SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
162,2015-01-26,FRANKLIN STREET FLORAL & GIFT,MONONA,Clayton,CINNAMON SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
163,2015-04-08,Sac Liquor Store,SAC CITY,Sac,PEACH SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
164,2014-09-08,Hy-Vee Wine and Spirits / Washington,WASHINGTON,Washington,CINNAMON SCHNAPPS,12.0,1000.0,7.62,11.43,4.0,45.72,4.0,1.06
