store_number,store_name,zip_code,address,store_location,etl_date
10098,THE PUMPER / FAYETTE,521420,515 W. WATER STREET,POINT(-91.80878 42.84444),2025-02-25T12:40:58.468704
10099,MILLS GROCERY AND LIQUOR / WEST DES MOINES,50266,6630 MILLS CIVIC PKWY,POINT(-93.798391984 41.560676993),2025-02-25T12:40:58.468704
10100,EASTSIDE LIQUOR AND GROCERY / MARSHALLTOWN,501580,1116 EAST NEVADA STREET,POINT(-92.89304 42.04434),2025-02-25T12:40:58.468704
10101,CUBBY'S ODEBOLT / ODEBOLT,514580,121 NORTH DES MOINES STREET,POINT(-95.24532 42.31135),2025-02-25T12:40:58.468704
10102,WORLD LIQUOR AND TOBACCO PLUS VAPORS /  CHEROKEE,510120,114 SOUTH 2ND STREET,POINT(-95.55131 42.749),2025-02-25T12:40:58.468704
10103,WMART / DAVENPORT,528030,1205 1207 EAST LOCUST STREET,POINT(-90.557523002 41.537992),2025-02-25T12:40:58.468704
10104,MEGA RETAIL / MARION,523020,5680 KACENA AVE.,POINT(-91.551385965 42.043487985),2025-02-25T12:40:58.468704
10105,OELWEIN LIQUORS LLC / OELWEIN,506620,1011 SOUTH FREDERICK AVENUE,POINT(-91.913144967 42.663094989),2025-02-25T12:40:58.468704
10106,MILL STREET WINE AND SPIRITS / LAKE MILLS,504500,107 NORTH MILL STREET,POINT(-93.535 43.41968),2025-02-25T12:40:58.468704
10107,SWEET WATER SPIRITS LLC / CLARION,502550,310 CENTRAL AVENUE EAST,POINT(-93.730104032 42.731452008),2025-02-25T12:40:58.468704
10109,ROSS TOBACCO SHOP / OTTUMWA,525010,129 EAST 2ND STREET,POINT(-92.41097 41.01797),2025-02-25T12:40:58.468704
10111,CASEY'S #4315 - AMES,500100,3218 ORION DRIVE,POINT(-93.621211962 42.054509014),2025-02-25T12:40:58.468704
10112,CASEY'S #4314 - AMES,500100,1118 SOUTH DUFF AVENUE,POINT(-93.61028 42.01222),2025-02-25T12:40:58.468704
10113,BREW #68 / ELDRIDGE,527480,1 GROVE ROAD,POINT(-90.54861899 41.694565994),2025-02-25T12:40:58.468704
10114,BREW #58 / HIAWATHA,522330,300 E BLAIRS FERRY ROAD,POINT(-91.6677540219999 42.035134999),2025-02-25T12:40:58.468704
10115,"FAREWAY STORES, INC. #236 / BONDURANT",500350,114 BRICK STREET SOUTHEAST,POINT(-93.461859996 41.6900559850001),2025-02-25T12:40:58.468704
10116,DAVIDS FOODS / LAKE MILLS,504500,103 N WASHINGTON ST,POINT(-93.53401804 43.419593015),2025-02-25T12:40:58.468704
10117,OASIS WINE AND SPIRITS - WINTERSET,502730,53 EAST GREEN STREET,POINT(-94.01431903 41.336681988),2025-02-25T12:40:58.468704
10118,TIGER MART / TIPTON,527720,51 CEDAR ST.,POINT(-91.128892028 41.764995019),2025-02-25T12:40:58.468704
10120,BP / WELTON,527740,2576 190TH STREET,POINT(-90.59163 41.9019),2025-02-25T12:40:58.468704
10121,BIG 10 MART #18 / DAVENPORT,528070,5310 CORPORATE PARK DRIVE,POINT(-90.51747 41.57535),2025-02-25T12:40:58.468704
10122,CASEY'S #4317 / VINTON,52349,814 C AVENUE,POINT(-92.02786 42.16322),2025-02-25T12:40:58.468704
10123,OLY'S C STORE / JEFFERSON,501290,208 WEST LINCOLN WAY,POINT(-94.376930974 42.01556401),2025-02-25T12:40:58.468704
10124,BREW #55 / CEDAR RAPIDS,524020,2904 CENTER POINT ROAD NE,POINT(-91.662356663 42.007200463),2025-02-25T12:40:58.468704
10125,BREW #54 / CEDAR RAPIDS,524040,3301 J STREET SOUTHWEST,POINT(-91.666314179 41.94469594),2025-02-25T12:40:58.468704
10126,BREW #57 / CEDAR RAPIDS,524020,4201 CENTER POINT ROAD NORTHEAST,POINT(-91.66561 42.02193),2025-02-25T12:40:58.468704
10127,GM FOOD MART / MUSCATINE,527610,1814 E AVE.,POINT(-91.0002759989999 41.4744329930001),2025-02-25T12:40:58.468704
10129,TROY MILLS / TROY MILLS,523440,5913 MAIN ST.,POINT(-91.682465733 42.290697321),2025-02-25T12:40:58.468704
10130,WILDCAT DISTILLING / WEBSTER CITY,50595,626 2ND ST,POINT(-93.82051 42.46942),2025-02-25T12:40:58.468704
10132,BREW #56 / CEDAR RAPIDS,524050,1001 1ST AVENUE SOUTHWEST,POINT(-91.684544735 41.972037583),2025-02-25T12:40:58.468704
